Story,Author,Genre,Tags,Status,Rating,Source
Skybound,a_man_in_black,Action and adventure,,Hiatus,,https://www.royalroad.com/fiction/26149/skybound
Skyclad,a_man_in_black,Action and adventure,,Completed,,https://www.royalroad.com/fiction/21361/skyclad
The Humble Life of a Skill Trainer,alstonsleet,Action and adventure,,Hiatus,,https://www.royalroad.com/fiction/30737/the-humble-life-of-a-skill-trainer
The Devil's Foundry,Argentorum,Action and adventure,,Ongoing,,https://www.royalroad.com/fiction/36804/the-devils-foundry
The Daily Grind,argusthecat,Action and adventure,,Ongoing,,https://www.royalroad.com/fiction/15925/the-daily-grind
A Practical Guide to Sorcery,AzaleaEllis,Action and adventure,,Ongoing,,https://www.royalroad.com/fiction/34009/a-practical-guide-to-sorcery
The Menocht Loop,caerulex,Action and adventure,,Completed,,https://www.royalroad.com/fiction/31514/the-menocht-loop
A Dream of Wings and Flame,Cocop (Cale Plamann),Action and adventure,,Ongoing,,https://www.royalroad.com/fiction/42630/a-dream-of-wings-and-flame
Blessed Time,Cocop (Cale Plamann),Action and adventure,,Hiatus,,https://www.royalroad.com/fiction/33020/blessed-time
Tower of Somnus,Cocop (Cale Plamann),Action and adventure,,Ongoing,,https://www.royalroad.com/fiction/36983/tower-of-somnus
The Gods are Bastards,D. D. Webb,Action and adventure,,Hiatus,,https://tiraas.net/
Saltworld: An Apocalypse LitRPG,Dissonance,Action and adventure,,Ongoing,,https://www.royalroad.com/fiction/47621/saltworld-an-apocalypse-litrpg
Realmshaker: Giant Progression LitRPG,Epikos,Action and adventure,,Completed,,https://www.amazon.ca/dp/B09GDSJLSB?tag=royalroad02-20
New Life of a Summoned Demoness,Erios909,Action and adventure,,Hiatus,,https://www.royalroad.com/fiction/36308/new-life-of-a-summoned-demoness
The Edge of Endless,FinalFloorBoss,Action and adventure,,Hiatus,,https://www.royalroad.com/fiction/38205/the-edge-of-endless
A Hero Past the 25th,I'mFiction,Action and adventure,,Completed,,https://www.royalroad.com/fiction/11361/a-hero-past-the-25th
A Hero Past the 25th: Paradise Lost,I'mFiction,Action and adventure,,Completed,,https://www.royalroad.com/fiction/12862/a-hero-past-the-25th-paradise-lost
The Eighth Warden,IvyVeritas,Action and adventure,,Ongoing,,https://www.royalroad.com/fiction/26116/the-eighth-warden
The Dawnfire Archives,Jon D R,Action and adventure,,Hiatus,,https://www.royalroad.com/fiction/27109/the-dawnfire-archives
Queen in the Mud,Maari,Action and adventure,,Completed,,Kindle Unlimited
Pith,madwhitesnake,Action and adventure,,Hiatus,,https://pithserial.com/
Pluto,MagusJosh,Action and adventure,,Completed,,https://www.royalroad.com/fiction/26771/pluto
The Kinnear Chronicles,MagusJosh,Action and adventure,,Ongoing,,https://www.royalroad.com/fiction/36709/the-kinnear-chronicles
Kairos: A Greek Myth LitRPG,Maxime J. Durand (Void Herald),Action and adventure,,Ongoing,,https://www.royalroad.com/fiction/41033/kairos-a-greek-myth-litrpg
The Perfect Run,Maxime J. Durand (Void Herald),Action and adventure,,Completed,,https://www.royalroad.com/fiction/36735/the-perfect-run
Salvos [A Monster Evolution LitRPG],MelasD,Action and adventure,,Ongoing,,https://www.royalroad.com/fiction/37438/salvos-a-monster-evolution-litrpg
Unbound (LitRPG Portal Fantasy),Necariin,Action and adventure,,Ongoing,,https://www.royalroad.com/fiction/30321/unbound-litrpg-portal-fantasy
This Quest is Bullshit,Nixia,Action and adventure,,Ongoing,,https://www.royalroad.com/fiction/33801/this-quest-is-bullshit
Spellgun,paradigmblue,Action and adventure,,Hiatus,,https://www.royalroad.com/fiction/14778/spellgun
The Legend of Randidly Ghosthound,puddles4263,Action and adventure,,Ongoing,,Kindle Unlimited
Stray Cat Strut - A Young Lady's Journey to Becoming a Pop-Up Samurai,RavensDagger,Action and adventure,,Ongoing,,https://www.royalroad.com/fiction/33600/stray-cat-strut-a-young-ladys-journey-to-becoming
The Desecrated Keep,Rising Myth,Action and adventure,,Completed,,https://www.royalroad.com/fiction/41987/the-desecrated-keep-completed
Beneath the Dragoneye Moons,Selkie,Action and adventure,,Ongoing,,https://www.royalroad.com/fiction/36299/beneath-the-dragoneye-moons
Spire Dweller,Stephabeni,Action and adventure,,Ongoing,,https://www.royalroad.com/fiction/39069/spire-dweller
The Chronicles of Delirium,sweetasianfaye,Action and adventure,,Hiatus,,https://www.royalroad.com/fiction/30566/the-chronicles-of-delirium
Song of the Void,Vihyungrang,Action and adventure,,Completed,,https://www.royalroad.com/fiction/21979/song-of-the-void
The Barracuda Street Adventurers' Guild,WaifuMill,Action and adventure,,Hiatus,,https://www.royalroad.com/fiction/37135/the-barracuda-street-adventurers-guild
The Gilded Hero,wercwercwerc,Action and adventure,,Hiatus,,https://www.royalroad.com/fiction/29286/the-gilded-hero
Worm,Wildbow,Action and adventure,,Completed,,https://parahumans.wordpress.com/
Cannibal Cheerleader,TiffersOk,Comedy,,Ongoing,,https://www.royalroad.com/fiction/35747/cannibal-cheerleader
Hilda Finds a Home,Urikson,Comedy,,Ongoing,,https://www.royalroad.com/fiction/34777/hilda-finds-a-home
Master of the System,Virlyce,Comedy,,Hiatus,,https://www.royalroad.com/fiction/42270/master-of-the-system
Eight,3seed,Fantasy,,Completed,,https://www.royalroad.com/fiction/26734/eight
The Lions of Dawrtaine,3seed,Fantasy,,Completed,,https://www.royalroad.com/fiction/40989/the-lions-of-dawrtaine
The Core of a Factory,Abysmal Lion,Fantasy,,Hiatus,,https://www.royalroad.com/fiction/31685/the-core-of-a-factory
A Budding Scientist in a Fantasy World,acaswell,Fantasy,,Ongoing,,https://www.royalroad.com/fiction/41521/a-budding-scientist-in-a-fantasy-world
Just a Bystander,Aefraga,Fantasy,,Ongoing,,https://www.royalroad.com/fiction/32123/just-a-bystander
Nanocultivation Chronicles: Trials of Lilijoy,Aetherial,Fantasy,,Hiatus,,https://www.royalroad.com/fiction/28254/nanocultivation-chronicles-trials-of-lilijoy
Wizard's Tower,Allanther,Fantasy,,Ongoing,,https://www.royalroad.com/fiction/41881/wizards-tower
Doom Guy Isekai,Angry Spider,Fantasy,,Hiatus,,https://www.royalroad.com/fiction/34854/doom-guy-isekai
Slime Cafe,Angry Spider,Fantasy,,Hiatus,,https://www.royalroad.com/fiction/41862/slime-cafe
Cat Girl Was Not My First Choice,BlenderNeutral,Fantasy,,Hiatus,,https://www.royalroad.com/fiction/28976/cat-girl-was-not-my-first-choice
Pyrebound,Brayton Cole,Fantasy,,Ongoing,,https://pyrebound.wordpress.com/
